# index in data/de/candidates.jsonl <TAB> word to blank <TAB> English translation
# Lines starting with # are ignored. Order here is irrelevant; the deck is sorted by difficulty.
0	Erste	And who is the first, then?
1	vor	What are you planning now?
2	weiter	But he went still further.
4	machen	What was to be done now?
5	fort	Then he stood up and went away.
6	Menschen	Yes, that's how people are.
8	will	What does the man want, then?
11	Augen	Tears came to my eyes.
12	allein	But I'm not allowed to go alone.
13	gleich	But that makes no difference at all.
14	Kopf	She shook her head.
18	um	He paused and looked around.
19	sollen	It was meant to be.
21	Junge	What, what is the boy saying?
22	hier	Why, why was he here?
23	bald	But she will come soon.
24	tun	But what should he do now?
25	Fenster	Here and there a window was open.
26	heute	How bad he is today, isn't he?
27	wieder	Now everything is fine again.
29	vergessen	Had I forgotten you? he asked.
31	liebste	That would be what I'd like best.
32	bleiben	Well, so let it stay!
33	nirgends	He was nowhere to be found.
34	ließ	But he didn't let me get a word in.
35	kann	But how can it be Gregor?
38	schüttelte	The boy shook his head.
39	wissen	Does he want to know what I'm doing?
40	eingetreten	Why didn't she come in?
44	glaubte	He thought it was Elisabeth.
46	dürfen	Oh, you mustn't say such a thing.
49	glücklich	He did so, and lived contentedly and happily with her.
50	immer	As if it were forever.
51	lächelnd	He looked at her with a strange smile.
52	schwieg	But the lawyer still said nothing.
53	herrlich	And how magnificent the branches were!
54	dunkel	It had now grown dark.
56	aufstehen	But now I must get up.
58	Antwort	Questions and questions, and never an answer.
59	Wind	But no wind came.
62	draußen	How bright it was outside!
64	Hand	But it sprang out of his hand and fell down.
65	Schwester	Why didn't the sister go to the others?
68	erreicht	Then they had reached the house.
69	falsch	But that would be quite wrong.
72	bisschen	But it helps a little.
73	Blick	A glance from her mother followed her.
82	Geheimnis	I have a secret, a lovely one!
85	Kind	You're behaving worse than a child.
88	gesprochen	Have you spoken to the girl?
90	schwieriger	But don't make it harder for me than it already is.
91	Vater	And what does your father say to that?
92	stören	Why must he come and disturb us!
96	wirklich	No, no, that really won't do.
99	jemand	Before long, someone knocked.
101	oft	Since then I am often outdoors.
103	frisch	But now I'm quite fresh again.
104	Tür	Reinhard had already opened the door.
105	beide	Then they both went out onto the country road.
107	nehmen	So what shall we have now?
108	verstand	She looked at him in astonishment; she didn't understand him.
109	Mutter	Soon the mother came back in.
112	gehört	What did I hear, Josef?
113	Wolf	But the one who came in was the wolf.
114	nichts	She let her hand drop and said nothing more.
116	Lust	No, he didn't feel like it.
118	Häuschen	She took them both by the hand and led them into her little house.
119	fragend	The lawyer looked at him questioningly.
120	gefiel	I must say, I quite liked that.
122	ruhig	I beg you, be calm!
123	traurig	You look so sad.
124	Schule	But unfortunately I have to go to school myself.
126	auf	So please open the door.
130	sagst	You're not saying anything, Effi.
131	Schuhe	He took the shoes in his hand to look at them more closely.
133	Wort	But you haven't said a word to me about it.
138	Zwerg	And when he arrived, everything was as the dwarf had said.
140	eilte	The sister hurried to her mother and held her forehead.
141	Kollegen	Then they're my colleagues.
142	plötzlich	Then he suddenly continued on his way.
144	Hals	The boy craned his neck.
145	hinüber	How are we to get across now?
146	Schlaf	A person must have their sleep.
148	schlief	After the overexertion he was dead tired and fell asleep.
149	Geschäft	The boy has nothing in his head but business.
150	still	Sometimes it was quiet and summery there.
152	liefen	Then they locked the door and ran away.
153	gut	You are so good, Erich!
154	Hände	He raised his hands and spread all his fingers.
155	Abend	Thank you for this evening!
156	freute	She was startled at the sight of him, and yet was glad too.
157	öffnete	The cleaning woman shut the door and opened the window wide.
158	sprichst	Goodness, Effi, how you talk.
162	einmal	Once more Reinhard took her hand.
169	König	The next morning the king came and wanted to inquire.
170	Eltern	On the other hand, I have my parents and my sister to worry about.
172	Augenblick	For a moment everything stayed silent.
173	gerade	You look very well right now.
175	etwas	He was silent and stared straight ahead, as if expecting something.
176	Schreiner	Father, I have become a carpenter.
177	Licht	She wondered whether she should turn on a light.
178	weinen	But my mother will cry.
179	Eile	You're in a hurry now, and we'll stay in touch anyway.
181	Trost	That is small comfort.
184	Herz	Did she pour her heart out to you?
188	versteht	Once again nobody understands that!
190	Bett	I'm just getting out of bed.
191	sehen	The two sat up, but could see nothing.
192	eigentlich	I couldn't recall at all where I actually was.
193	kurz	I had to be very brief.
195	Lächeln	Hauke looked at her with a half smile.
197	länger	I can't feed you here any longer.
198	gerne	Johanna also liked to listen.
199	Name	Is that your real name?
200	Familie	He thought back on his family with emotion and love.
201	Hause	When he came home, Elke seized his hand.
203	hältst	But you don't keep your word, Reinhard.
204	wahr	For one has to know what one wants, isn't that so?
