# index in data/pt/candidates.jsonl <TAB> word to blank <TAB> English translation
0	amizade	What friendship is this that I've never seen?
1	parece	What do you think, mother?
2	onde	And do you know where you're going, madam?
3	outra	And where is that other one?
4	ficou	The fact is that the nickname stuck.
5	filhos	Just as well they had no children!
6	escrito	I know no more than what is written there.
7	mal	What harm did he do you?
8	soubesse	If only I knew what it is I did!
9	diz	Look what the Bible says!
11	deves	Well, that's what you must do.
13	preciso	No more was needed for him to understand.
14	sofrer	This is what I call suffering!
16	querida	How is my dear mama?
18	conta	Pretend that I am your mother.
22	mesmo	Well, I shall do the same.
23	fome	Man! Clearly there is hunger!
24	diferença	That is the whole difference.
25	chama	Ah! that's right! What's your name?
27	peito	You haven't been well in the chest.
28	família	I know what it's about. It's a family matter.
31	quero	But I don't want to describe it.
32	fale	Do you want me to speak to him?
33	chão	Look there at the floor.
34	efeito	It didn't have that effect on me.
35	rezas	And how are we doing with prayers?
36	diabo	What the devil can you do there?
37	amigos	We were friends, and he told me nothing.
38	doente	Who knows whether she isn't ill?
39	confiança	I had the trust of both.
41	exemplo	You, for example, what do you do?
43	saber	I don't want to know what there is in the Douro.
44	ontem	But why didn't you go to the theatre yesterday?
45	queria	Everything, everything, he wanted to know everything.
46	maldade	That's wicked of you, you know?
47	saudades	I miss mama.
51	cara	I'll see what face he comes with, she thought.
52	motivo	Now that is the private reason.
53	brincadeira	I don't mean to say that confession is a joke!
54	inimiga	You're not his enemy, are you?
55	ciúmes	I came to be jealous of everything and everyone.
56	entro	If he's at home, I won't go in.
58	pretexto	I only want a pretext.
59	asneiras	He should stop talking nonsense!
60	assassino	The murderer is a philanthropist!
61	justamente	Well, that's exactly what suits us.
62	começar	Then it's a matter of going in and starting to enjoy it.
64	irmã	That woman we saw is not his sister.
65	culpa	What fault is it of hers, poor thing?
67	marido	It wasn't her fault if her husband loved her.
68	remédio	And what if I give you a remedy for everything?
69	beber	And they stayed on drinking.
70	dormia	She, upstairs, wasn't sleeping either.
73	ar	No, the air might do you harm.
74	pede	Pretend it's a sister of yours who is asking you.
77	roubou	Who stole my saint?
78	testamento	I have my will made.
79	note	With you, madam, mind you.
80	mesa	The soup is on the table!
81	sonhei	At night I dreamed of them.
84	descoberta	But don't you want to hear my interesting discovery?
85	botas	Yes, happiness is a pair of boots.
86	merece	You don't deserve the sacrifices I make for you.
87	amanhã	Don't go out tonight, nor tomorrow.
88	teve	This Galician is the one to blame for everything!
90	nome	And this isn't nice, because everyone has their own name.
91	tempo	Have you been here long? he said to me.
92	satisfeito	Aren't you satisfied with my ruin?
93	lembrou	Only then did she remember the rabbit.
94	Talvez	Perhaps the fault lay elsewhere.
95	reflexão	This reflection was not mine, but hers.
96	capaz	Are you capable of making a sacrifice for me?
97	pais	I want absolutely nothing from my parents' house.
98	lembro	Twenty-three! if I remember rightly.
100	seco	Dry bread is something I can't swallow.
102	sangue	The blood was of the same opinion.
103	chorar	Well, wasn't it better to dream than to cry?
108	fundo	But, deep down, what compensations!
109	delírio	It was my delirium beginning.
110	loucura	It was a dizziness and a madness.
111	custa	Telling them costs them nothing.
113	longe	If he knew of some, he was far from knowing them all.
115	desespero	Justice would be kept for the case of despair.
120	paz	I spent an hour in peace.
122	jantar	Dinner was at half past six.
123	coração	It's time to open my heart to you, cousin.
124	autor	He was no longer the man, he was the author of the manuscript.
127	embora	She didn't leave my mother, except to go away.
128	mês	Married a month later, her!
130	chegou	That's how he arrived at Palha's house.
132	alma	Happiness has a good soul.
134	aparece	Where do you hide yourself, sir, that you don't appear anywhere?
136	poder	I'll manage as best I can.
138	pé	One can barely see the tip of one's foot.
139	amiga	Such a friend to me she was! So loving!
140	valsa	The waltz is a delightful thing.
141	mar	Are you going in the sea tomorrow?
142	além	And besides, here we are, the two of us.
143	dentro	I've already said inside whom I'm looking for.
144	hora	It was the canon's dinner hour.
145	casar	Well, you can be sure, father, that I shall marry!
146	ministro	I believe he will make a good minister.
147	paciência	But what patience you have to gather all this! he said.
148	zanguei	Even so, I didn't get angry.
152	anos	Good God! I thought, how many years I've been in Paris!
154	amor	Be quiet, for the love of God!
155	porta	When I reached the door, she wasn't laughing.
158	engane	May God grant that I'm mistaken!
160	alcançar	Ask, I do ask, but asking is not obtaining.
161	sempre	But don't trouble yourself, I'm always out.
164	Perdeu	He lost his father at the age of ten.
165	coitada	Well, poor thing! how could she go?
166	novidades	Well, here is the news.
168	janelas	I don't need to open windows onto anyone's yard!
170	carta	Will you take her a letter right now?
174	sentimento	In this case the feeling was different.
175	vieste	But how did you come here, Carlos?
179	almocei	Look, I haven't even had lunch today.
181	estudar	Why shouldn't he go and study law away from here?
182	caridade	For the impious there is no charity!
183	vontade	He ate little and without appetite.
184	verão	These are summer games now, sir!
185	dizia	I did wrong, he said, very wrong.
186	partiu	Off she went, and she's already settled in.
189	horror	I feel astonishment and horror at myself.
192	meses	I'll be back in three months.
196	prato	It must have been a pretty dish, and perhaps not bad!
198	promessa	Your mother made a promise to God to give him a priest, didn't she?
199	afinal	Do you have anything to drink at home? he asked at last.
200	horas	I'm jealous of all your hours.
201	desejar	What more could I wish for, in twenty-four hours?
203	cedo	And that afternoon he returned earlier to the convent.
205	durante	What had he done during that summer?
206	costas	Off we go with the bundle on our backs.
207	conheço	I know my authors.
208	rindo	Exactly, the other interrupted, laughing.
209	esconde	In a poor body a good master hides!
210	menina	God bless you, my girl, God bless you!
211	luz	That affair, however, was a ray of light.
